part,resource,sequence,tool_number,tool_description
A11451,350,1,19,.224 CARBIDE DRILL
A11451,350,2,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11451,350,3,2,1/4-20 ROLLFORM TAP
A11451,350,4,12,13/32  CARBIDE DRILL
A11452,410,1,1,PROBE
A11452,410,2,17,"3.0"" DIA. FACEMILL"
A11452,410,3,97,17/32 .531 CARBIDE DRILL
A11452,410,4,25,5/8 CARBIDE ENDMILL
A11452,410,5,87,11/32 .343 CARBIDE DRILL
A11452,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11452,410,7,56,3/8-16 ROLL FORM TAP
A11453,410,1,89,13/32 CARBIDE DRILL
A11453,410,2,124,"1.0"" DIA. 82 DEGREE COUNTERSINK"
A11453,410,3,90,11.7 MM .460 CARBIDE DRILL
A11453,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11453,410,5,58,1/2-13 ROLL FORM TAP
A11458,410,1,1,PROBE
A11458,410,2,87,11/32 .343 CARBIDE DRILL
A11458,410,3,8,11/32 .343 CARBIDE DRILL
A11458,410,4,56,3/8-16 ROLL FORM TAP
A11458,410,5,1,PROBE
A11458,410,6,15,1.25 TURBO MILL
A11458,410,7,89,13/32 .406 DRILL
A11458,410,8,103,3/8 .375 CARBIDE DRILL
A11458,410,9,78,1/8 .125 CARBIDE DRILL
A11458,410,10,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11458,410,11,69,3/8 S.F. REAMER
A11461,410,1,90,11.7 MM .460CARBIDE DRILL
A11461,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11461,410,3,58,1/2-13 ROLL FORM TAP
A11464,410,1,13,.75 TURBO MILL
A11464,410,2,116,25MM .984 SUMO INSERT DRILL
A11464,410,3,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11464,410,4,76,1.00 DIA. REAMER
A11464,410,5,93,.750 DIA. SUMO INSERT DRILL
A11464,410,6,80,#18 .169 CARBIDE DRILL
A11464,410,7,53,10-24 ROLL FORM TAP
A11464,410,8,74,.752 REAMER
A11464,410,9,13,.75 TURBO MILL
A11469,410,1,97,17/32 .531 CARBIDE DRILL
A11469,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11469,410,3,59,5/8-11 PLUG TAP
A11469,410,4,118,45 DEGREE INGERSOL RAND CHAMFER TOOL C.C. 0.00
A11471,410,1,17,"3.0"" FACEMILL"
A11471,410,2,116,25 MM .984 SUMO INSERT DRILL
A11471,410,3,96,21/32 .656 CARBIDE DRILL
A11471,410,4,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11471,410,5,60,3/4-10 PLUG TAP
A11471,410,6,24,"1/2 CARBIDE ENDMILL ""NO CORNER RADIUS"""
A11484,410,1,82,5.7 MM .224 CARBIDE DRILL
A11484,410,2,54,1/4-20 ROLL FORM TAP
A11484,410,3,85,9/32 .281 CARBIDE DRILL
A11485,410,1,15,1.25 DIA. TURBO MILL
A11485,410,2,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11485,410,3,97,17/32 .531 CARBIDE DRILL
A11485,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11486,410,1,1,PROBE
A11486,410,2,89,13/32 .406 CARBIDE DRILL
A11486,410,3,24,1/2 CARBIDE ENDMILL
A11487,410,1,111,1.375 DIA. CARB. DRILL
A11487,410,2,14,"1.0"" TURBO MILL"
A11487,410,3,19,45 DEGREE CHAMFFER TOOL C.C. .4700
A11487,410,4,25,5/8 CARBIDE ENDMILL
A11487,410,5,89,13/32 .406 CARBIDE DRILL
A11487,410,6,23,3/8 CARBIDE ENDMILL
A11487,410,7,37,#5 C'DRILL
A11487,410,8,78,1/8 .125 CARBIDE DRILL
A11487,410,9,42,#36 .106 H.S.S. DRILL
A11488,410,1,1,PROBE
A11488,410,2,104,2.25 DIA. CARB. DRILL
A11488,410,3,15,1.25 TURBO MILL
A11488,410,4,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11488,410,5,25,5/8 CARBIDE ENDMILL
A11488,410,6,45,.781 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11488,410,7,97,17/32 .531 CARBIDE DRILL
A11488,410,8,102,3/8 .375 CARBIDE DRILL
A11488,410,9,82,5.7 MM .224 CARBIDE DRILL
A11488,410,10,87,11/32 .343 CARBIDE DRILL
A11488,410,11,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11488,410,12,57,7/16-14 PLUG TAP
A11488,410,13,54,1/4-20 ROLL FORM TAP
A11488,410,14,56,3/8-16 ROLL FORM TAP
A11496,410,1,119,1/4 .250 CARBIDE DRILL
A11496,410,2,22,1/4 CARBIDE ENDMILL
A11496,410,3,98,23/32 .718 SUMO INSERT DRILL
A11496,410,4,24,1/2 CARBIDE ENDMILL
A11496,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11496,410,6,74,3/4 P.F. REAMER
A11497,410,1,119,1/4 .250 CARBIDE DRILL
A11497,410,2,89,13/32 .406 CARBIDE DRILL
A11497,410,3,22,1/4 CARBIDE ENDMILL
A11497,410,4,23,3/8 CARBIDE ENDMILL
A11498,410,1,15,1.25 DIA. TURBO MILL
A11498,410,2,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11498,410,3,97,17/32 .531 CARBIDE DRILL
A11498,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11499,410,1,82,5.7MM .228 CARBIDE DRILL
A11499,410,2,54,1/4-20 ROLL FORM TAP
A11499,410,3,15,1.25 TURBO MILL
A11499,410,4,125,"1.0"" CARBIDE ENDMILL"
A11499,410,5,82,5.7MM .228 CARBIDE DRILL
A11499,410,6,54,1/4-20 ROLL FORM TAP
A11501,410,1,1,PROBE
A11501,410,2,89,13/32 .406 CARBIDE DRILL
A11501,410,3,44,.595 DIA. SUMO FLAT BOTTOM DRILL
A11501,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11501,410,5,1,PROBE
A11501,410,6,24,1/2 CARBIDE ENDMILL
A11501,410,7,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11501,410,8,17,"3.0"" DIA. FACEMILL"
A11501,410,9,89,13/32 .406 CARBIDE DRILL
A11501,410,10,44,.595 DIA. SUMO FLAT BOTTOM DRILL
A11501,410,11,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11503,410,1,1,PROBE
A11503,410,2,92,25/32 .781 SUMO INSERT DRILL
A11503,410,3,25,5/8 CARBIDE ENDMILL
A11503,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11503,410,5,75,.875 DIA. REAMER
A11503,410,6,17,"3.0"" DIA. FACEMILL"
A11503,410,7,89,13/32 .406 CARBIDE DRILL
A11503,410,8,44,.595 DIA. SUMO FLAT BOTTOM DRILL
A11503,410,9,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11504,410,1,86,5/16 CARBIDE DRILL
A11504,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11504,410,3,56,3/8-16 PLUG TAP
A11509,410,1,14,1.0 TURBO MILL
A11509,410,2,25,5/8 CARBIDE ENDMILL
A11509,410,3,17,3.0 FACEMILL
A11509,410,4,82,5.7 MM .224 CARBIDE DRILL
A11509,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11509,410,6,54,1/4-20 ROLL FORM TAP
A11509,410,7,44,.595 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11509,410,8,89,13/32 .406 CARBIDE DRILL
A11509,410,9,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11510,410,1,1,PROBE
A11510,410,2,51,3/4 CARBIDE ENDMILL
A11510,410,3,85,9/32 .281 CARBIDE DRILL
A11510,410,4,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11511,410,1,14,1.0 TURBO MILL
A11511,410,2,25,5/8 CARBIDE ENDMILL
A11511,410,3,17,3.0 FACEMILL
A11511,410,4,82,5.7 MM .224 CARBIDE DRILL
A11511,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11511,410,6,54,1/4-20 ROLL FORM TAP
A11511,410,7,44,.595 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11511,410,8,89,13/32 .406 CARBIDE DRILL
A11511,410,9,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11518,410,1,84,7.3 MM .287 CARBIDE DRILL
A11518,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11518,410,3,55,5/16-18 ROLL FORM TAP
A11518,410,4,100,1/2 .500 CARBIDE DRILL
A11518,410,5,90,11.7 MM .460 CARBIDE DRILL
A11518,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11518,410,7,58,1/2-13 ROLL FORM TAP
A11519,410,1,89,13/32 .406 CARBIDE DRILL
A11520,410,1,17,3.0 FACEMILL
A11520,410,2,87,11/32 .343 CARBIDE DRILL
A11520,410,3,8,"1.0"" DIA. 90 DEGREE SOT DRILL"
A11520,410,4,56,3/8-16 ROLL FORM TAP
A11520,410,5,89,13/32 .406 CARBIDE DRILL
A11520,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11521,410,1,17,3.0 FACEMILL
A11521,410,2,87,11/32 .343 CARBIDE DRILL
A11521,410,3,8,"1.0"" DIA. 90 DEGREE SOT DRILL"
A11521,410,4,56,3/8-16 ROLL FORM TAP
A11521,410,5,89,13/32 .406 CARBIDE DRILL
A11521,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11522,410,1,1,PROBE
A11522,410,2,51,3/4 CARBIDE ENDMILL
A11522,410,3,89,13/32 .406 CARBIDE DRILL
A11522,410,4,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11523,410,1,1,PROBE
A11523,410,2,51,3/4 CARBIDE ENDMILL
A11523,410,3,89,13/32 .406 CARBIDE DRILL
A11523,410,4,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11524,410,1,97,17/32 .531 CARBIDE DRILL
A11524,410,2,24,1/2 CARBIDE ENDMILL
A11524,410,3,87,11/32 .343 CARBIDE DRILL
A11524,410,4,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11524,410,5,117,1/4 .250 CARBIDE DRILL
A11524,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11524,410,7,67,1/4 S.F. REAMER
A11525,410,1,14,1.0 TURBO MILL
A11525,410,2,51,5/8 CARBIDE ENDMILL
A11525,410,3,1,PROBE
A11525,410,4,14,1.0 TURBO MILL
A11525,410,5,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11525,410,6,84,7.3 MM .287 CARBIDE DRILL
A11525,410,7,119,1/4 .250 CARBIDE DRILL
A11525,410,8,87,11/32 .343 CARBIDE DRILL
A11525,410,9,96,39/64 .609 CARBIDE DRILL
A11525,410,10,24,1/2 CARBIDE ENDMILL
A11525,410,11,56,3/8-16 ROLL FORM TAP
A11525,410,12,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11525,410,13,55,5/16-18 ROLL FORM TAP
A11525,410,14,73,5/8 S.F. REAMER
A11527,410,1,14,"1.0"" TURBO MILL"
A11527,410,2,102,3/8 .375 CARBIDE DRILL
A11527,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11527,410,4,69,3/8 S.F. REAMER
A11528,410,1,85,9/32 .281 CARBIDE DRILL
A11528,410,2,124,5/8 DIA. X 82 DEGREE COUNTERSINK
A11531,410,1,82,5.7 MM .224 CARBIDE DRILL
A11531,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11531,410,3,54,1/4-20 ROLL FORM TAP
A11532,410,1,87,11/32 .343 CARBIDE DRILL
A11532,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11534,410,1,97,17/32 .531 CARBIDE DRILL
A11534,410,2,89,13/32 .406 CARBIDE DRILL
A11534,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11536,410,1,97,17/32 .531 CARBIDE DRILL
A11536,410,2,24,1/2 CARBIDE ENDMILL
A11537,410,1,97,17/32 .531 CARBIDE DRILL
A11537,410,2,8,"1.0"" 90 DEGREE SPOT DRILL"
A11540,410,1,25,5/8 CARBIDE ENDMILL
A11540,410,2,86,5/16 .3125 CARBIDE DRILL
A11540,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11540,410,4,56,"3/8-16 ""CUT"" PLUG TAP"
A11541,410,1,89,13/32 .406 CARBIDE DRILL
A11541,410,2,87,11/32 .343 CARBIDE DRILL
A11541,410,3,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11541,410,4,24,1/2 CARBIDE ENDMILL
A11541,410,5,23,3/8 CARBIDE ENDMILL
A11542,410,1,97,17/32 .531 CARBIDE ENDMILL
A11542,410,2,24,1/2 CARBIDE ENDMILL
A11542,410,3,44,.595 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11542,410,4,89,13/32 .406 CARBIDE DRILL
A11542,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11543,410,1,15,1.25 TURBO MILL
A11543,410,2,84,7.3 MM .287 CARBIDE DRILL
A11543,410,3,90,11.7 MM .460 CARBIDE DRILL
A11543,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11543,410,5,55,5/16-18 ROLL FORM TAP
A11543,410,6,58,1/2-13 ROLL FORM TAP
A11544,410,1,23,3/8 CARBIDE ENDMILL
A11544,410,2,15,1.25 TURBO MILL
A11544,410,3,87,11/32 .343 CARBIDE DRILL
A11544,410,4,97,17/32 .531 CARBIDE DRILL
A11544,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11546,410,1,1,PROBE
A11546,410,2,102,3/8 .375 CARBIDE DRILL
A11546,410,3,1,PROBE
A11546,410,4,15,1.25 TURBO MILL
A11546,410,5,114,1.031 DIA. SUMO INSERT DRILL
A11546,410,6,25,5/8 CARBIDE ENDMILL
A11546,410,7,6,5/8 CARBIDE DRILL
A11546,410,8,87,11/32 .343 CARBIDE DRILL
A11546,410,9,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11546,410,10,56,3/8-16 ROLL FORM TAP
A11546,410,11,77,1.0 S.F. REAMER
A11547,410,1,1,PROBE
A11547,410,2,24,1/2 CARBIDE ENDMILL
A11547,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11547,410,4,17,"3.0"" FACEMILL"
A11547,410,5,44,.595 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11547,410,6,89,13/32 .406 CARBIDE DRILL
A11547,410,7,90,11.7 MM .460 CARBIDE DRILL
A11547,410,8,23,3/8 CARBIDE ENDMILL
A11547,410,9,87,11/32 .343 CARBIDE DRILL
A11547,410,10,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11547,410,11,56,3/8-16 ROLL FORM TAP
A11548,410,1,89,13/32 .406 CARBIDE DRILL
A11548,410,2,100,1/2 .500 CARBIDE DRILL
A11548,410,3,23,3/8 CARBIDE ENDMILL
A11554,410,1,85,9/32 .281 CARBIDE DRILL
A11554,410,2,22,1/4 CARBIDE ENDMILL
A11554,410,3,82,5.7 MM .228 CARBIDE DRILL
A11554,410,4,54,1/4-20 ROLL FORM TAP
A11556,410,1,119,1/2 .250 CARBIDE DRILL
A11558,410,1,90,11.7 MM .460 CARBIDE DRILL
A11558,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11558,410,3,58,1/2-13 ROLL FORM TAP
A11561,410,1,1,PROBE
A11561,410,2,17,"3.0"" FACEMILL"
A11561,410,3,14,"1.0"" TURBO MILL"
A11561,410,4,112,1.245 CARB. DRILL
A11561,410,5,51,5/8 CARBIDE ENDMILL
A11561,410,6,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11561,410,7,28,1.250 DIA. BORING BAR
A11561,410,8,77,1.0 S.F. REAMER
A11561,410,9,87,11/32 .343 CARBIDE DRILL
A11561,410,10,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11561,410,11,56,3/8-16 ROLL FORM TAP
A11562,410,1,87,11/32 .343 CARBIDE DRILL
A11562,410,2,56,3/8-16 ROLL FORM TAP
A11562,410,3,89,13/32 .406 CARBIDE DRILL
A11564,410,1,89,13/32 .406 CARBIDE DRILL
A11564,410,2,23,3/8 CARBIDE ENDMILL
A11564,410,3,5,"1.0"" SUMO INSERT DRILL"
A11564,410,4,77,1.0 S.F. REAMER
A11571,410,1,1,PROBE
A11571,410,2,44,.595 DIA. SUMO FLAT BOTTOM DRILL
A11571,410,3,15,1.25 TURBO MILL
A11571,410,4,125,1.0 CARBIDE ENDMILL
A11571,410,5,90,11.7 MM .460 CARBIDE DRILL
A11571,410,6,58,1/2-13 ROLL FORM TAP
A11571,410,7,89,13/32 .406 CARBIDE DRILL
A11572,410,1,1,PROBE
A11572,410,2,44,.595 DIA. SUMO FLAT BOTTOM DRILL
A11572,410,3,15,1.25 TURBO MILL
A11572,410,4,125,1.0 CARBIDE ENDMILL
A11572,410,5,90,11.7 MM .460 CARBIDE DRILL
A11572,410,6,58,1/2-13 ROLL FORM TAP
A11572,410,7,89,13/32 .406 CARBIDE DRILL
A11574,410,1,89,13/32 .406 CARBIDE DRILL
A11574,410,2,23,3/8 CARBIDE ENDMILL
A11575,410,1,97,17/32 .531 CARBIDE DRILL
A11575,410,2,24,1/2 CARBIDE ENDMILL
A11579,410,1,97,17/32 .531 CARBIDE DRILL
A11579,410,2,24,1/2 CARBIDE ENDMILL
A11579,410,3,90,11.7 MM .460 CARBIDE DRILL
A11579,410,4,87,9.3 MM .366 CARBIDE DRILL
A11579,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11579,410,6,58,1/2-13 ROLL FORM TAP
A11579,410,7,56,M10 X 1.5 ROLL FORM TAP
A11580,410,1,1,PROBE
A11580,410,2,15,1.25 TURBO MILL
A11580,410,3,89,13/32 .406 CARBIDE DRILL
A11580,410,4,44,.595 DIA. SUMO FLAT BOTTOM INSERT DRILL
A11580,410,5,97,9/16 .5625 CARBIDE DRILL
A11580,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11583,410,1,89,13/32 .406 CARBIDE DRILL
A11583,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11584,350,1,37,"3/16"" CARBIDE END MILL"
A11584,350,2,29,"1/8"" CARBIDE DRILL"
A11592,410,1,1,PROBE
A11592,410,2,89,13/32 .406 CARBIDE DRILL
A11592,410,3,124,5/8 DIA. 82 DEGREE COUNTERSINK
A11597,410,1,100,1/2 .500 CARBIDE DRILL
A11597,410,2,13,3/4 TURBO MILL
A11597,410,3,24,1/2 CARBIDE ENDMILL
A11597,410,4,23,3/8 CARBIDE ENDMILL
A11597,410,5,85,9/32 .281 CARBIDE DRILL
A11597,410,6,22,1/4 CARBIDE ENDMILL
A11597,410,7,78,1/8 .125 CARBIDE DRILL
A11597,410,8,122,1/8 CARBIDE ENDMILL
A11597,410,9,1,PROBE
A11597,410,10,22,1/4 CARBIDE ENDMILL
A11597,410,11,122,1/8 CARBIDE ENDMILL
A11597,410,12,87,11/32 .343 CARBIDE DRILL
A11597,410,13,84,7.3 MM .287 CARBIDE DRILL
A11597,410,14,55,5/16-18 ROLL FORM TAP
A11601,410,1,1,PROBE
A11601,410,2,13,"3/4"" TURBO MILL **MILL .440 CHAMFERS**"
A11601,410,3,15,"1.25"" TURBO MILL **G54.1 P1 B90 TOP**"
A11601,410,4,93,"3/4"" .750 SUMO INSERT DRILL **G54 B0 TOP LEFT**"
A11601,410,5,82,5.7 MM .228 CARBIDE DRILL **G54 B0 TOP LEFT**
A11601,410,6,95,"23/32"" .7187 SUMO INSERT DRILL **G54.1 P1 B90 TOP**"
A11601,410,7,19,45 DEGREE CHAMFER TOOL C.C. .4700 **G54 B0 TOP LEFT**
A11601,410,8,23,"3/8"" CARBIDE ENDMILL **G54 B0 TOP LEFT**PLUNGE TIMING SLOT"
A11601,410,9,8,"1.0"" DIA. 90 DEGREE SPOT DRILL **G54 B0 TOP LEFT** CHAMFER .752 DIA."
A11601,410,10,62,3/4-16 ROLL FORM TAP **G54.1 P1 B90 TOP**
A11601,410,11,54,1/4-20 ROLL FORM TAP **G54 B0 TOP LEFT**
A11601,410,12,74,"3/4"" .752 S.F. REAMER **G54 B0 TOP LEFT**"
A11601,410,13,22,"1/4"" CARBIDE ENDMILL **G54 B0 TOP LEFT**"
A11602,410,1,85,9/32 .281 CARBIDE DRILL
A11609,350,1,19,.228 CARBIDE DRILL
A11609,350,2,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11609,350,3,2,1/4-20 ROLLFORM TAP
A11609,350,4,19,.228 CARBIDE DRILL
A11609,350,5,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11609,350,6,2,1/4-20 ROLLFORM TAP
A11609,410,1,82,5.7 MM .224 CARBIDE DRILL
A11609,410,2,54,1/4-20 ROLL FORM TAP
A11609,410,3,82,5.7 MM .224 CARBIDE DRILL
A11609,410,4,54,1/4-20 ROLL FORM TAP
A11612,410,1,1,PROBE
A11612,410,2,81,3/16 .1875 CARBIDE DRILL
A11612,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11612,410,4,1,
A11614,410,1,108,"1.750"" DIA. CARB. DRILL G54 TOP VISE"
A11614,410,2,24,"1/2"" CARBIDE ENDMILL G54 B0 TOP VISE"
A11614,410,3,87,"11/32"" .343 CARBIDE DRILL G54 B0 TOP VISE"
A11614,410,4,123,7/32 .2188 CARBIDE DRILL G54 B0 TOP VISE
A11614,410,5,124,"3/4"" DIA. 82 DEGREE COUNTERSINK G54 B0 TOP VISE"
A11614,410,6,8,"1.0"" DIA. 90 DEGREE SPOT DRILL G54 B0 TOP VISE"
A11614,410,7,19,45 DEGREE CHAMFER TOOL C.C. .4700 G54 TOP VISE
A11615,410,1,87,11/32 .343 CARBIDE DRILL
A11615,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11615,410,3,56,3/8-16 ROLL FORM TAP
A11615,410,4,87,11/32 .343 CARBIDE DRILL
A11615,410,5,82,5.7 MM .228 CARBIDE DRILL
A11615,410,6,89,13/32 .406 CARBIDE DRILL
A11615,410,7,24,1/2 CARBIDE ENDMILL
A11615,410,8,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11615,410,9,56,3/8-16 ROLL FORM TAP
A11615,410,10,54,1/4-20 ROLL FORM TAP
A11615,410,11,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11616,410,1,15,1.25 TURBO MILL
A11616,410,2,85,9/32 .281 CARBIDE DRILL
A11616,410,3,82,5.7 MM .228 CARBIDE DRILL
A11616,410,4,23,3/8 CARBIDE ENDMILL
A11616,410,5,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11616,410,6,54,1/4-20 ROLL FORM TAP
A11617,410,1,111,1.375 CARB. DRILL
A11617,410,2,25,5/8 CARBIDE ENDMILL
A11617,410,3,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11617,410,4,81,3/16 .1875 CARBIDE DRILL
A11617,410,5,89,13/32 CARBIDE DRILL
A11617,410,6,23,3/8 CARBIDE ENDMILL
A11620,350,1,20,".3438"" CARBIDE DRILL"
A11620,350,2,1,"1.0"" SPOT DRILL"
A11620,350,3,3,3/8-16 ROLLFORM TAP
A11620,410,1,87,11/32 .343 CARBIDE DRILL
A11620,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11620,410,3,56,3/8-16 ROLL FORM TAP
A11625,410,1,1,PROBE
A11625,410,2,122,3/16 .1875 CARBIDE END MILL
A11625,410,3,81,3/16 .1875 CARBIDE DRILL
A11625,410,4,1,3/16 .1875 CARBIDE DRILL
A11627,410,1,97,17/32 .531 CARBIDE DRILL
A11628,350,1,9,2.625 DIA. INGERSOL 45 DEGREE CUTTER ***NO CUTTER COMP***
A11628,350,2,35,"1.25"" TURBO MILL"
A11628,350,3,36,"3/4"" CARBIDE END MILL"
A11628,350,4,14,"17/32"" CARBIDE DRILL"
A11628,350,5,13,".460"" CARBIDE DRILL"
A11628,350,6,20,".347"" CARBIDE DRILL"
A11628,350,7,33,"1/2"" CARBIDE END MILL"
A11628,350,8,1,"1"" SPOT DRILL"
A11628,350,9,4,1/2-13 TAP ROLLER
A11628,350,10,3,3/8-16 TAP ROLLER
A11628,350,11,16,5/8-11 TAP
A11636,410,1,1,PROBE
A11636,410,2,17,"3.0"" FACE MILL ""LONG"" **MINIMAL CLEANUP ON FACE**"
A11636,410,3,110,"1.50"" DIA. CARB. DRILL"
A11636,410,4,116,25 MM .984 SUMO INSERT DRILL
A11636,410,5,82,5.7 MM .228 CARBIDE DRILL
A11636,410,6,89,"13/32"" .406 CARBIDE DRILL"
A11636,410,7,8,"1.0"" DIA. 90 DEGREE SPOT DRILL **CHAMFER 13/32 HOLES**"
A11636,410,8,54,1/4-20 ROLL FORM TAP
A11636,410,9,19,"45 DEGREE CHAMFER TOOL C.C. .4700 **CHAMFER 1.50"" DIA.**"
A11636,410,10,29,1.500 - 1.505 DIA. BORING BAR
A11636,410,11,76,"1.0"" P.F. REAMER"
A11636,410,12,74,"3/4"" S.F. REAMER"
A11641,410,1,97,17/32 .531 CARBIDE DRILL
A11641,410,2,85,9/32 .281 CARBIDE DRILL
A11641,410,3,22,1/4 CARBIDE ENDMILL
A11645,410,1,89,13/32 .406 CARBIDE DRILL
A11645,410,2,124,"1.0"" DIA. 82 DEGREE COUNTERSINK"
A11645,410,3,118,45 DEGREE INGERSOL CHAMFER TOO NO C.C.
A11655,410,1,89,13/32 .406 CARBIDE DRILL
A11655,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11659,410,1,1,PROBE
A11659,410,2,17,"3.0"" FACE MILL"
A11659,410,3,47,7/16 .4375 CARBIDE DRILL
A11659,410,4,87,11/32 .343 CARBIDE DRILL G54 B0
A11659,410,5,84,7.3 MM .287 CARBIDE DRILL
A11659,410,6,2,6.8 MM .266 CARBIDE DRILL
A11659,410,7,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A11659,410,8,56,3/8-16 ROLL FORM TAP
A11659,410,9,55,5/16-18 ROLL FORM TAP
A11659,410,10,126,M8 X 1.25 PLUG CUT TAP
A11659,410,11,17,"3.0"" FACE MILL"
A11665,410,1,112,1.245 CARB DRILL
A11665,410,2,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11665,410,3,28,"1.2500"" BORING BAR"
A11665,410,4,90,11.7 MM .460 CARBIDE DRILL
A11665,410,5,84,7.3 MM .284 CARBIDE DRILL
A11665,410,6,86,5/16 .3125 CARBIDE DRILL
A11665,410,7,8,"1.0""  DIA. 90 DEGREE SPOT DRILL"
A11665,410,8,58,1/2 - 13 ROLL FORM TAP
A11665,410,9,55,5/16-18 ROLL FORM TAP
A11665,410,10,56,"3/8-16"" PLUG TAP ""CUT"" *** DO NOT CHANGE TO ROLL FORM***"
A11665,410,11,15,"1.25"" TURBO MILL"
A11666,410,1,1,PROBE
A11666,410,2,49,"3/8"" CARBIDE END MILL"
A11676,410,1,83,"LETTER ""F"" .257 CARBIDE DRILL"
A11676,410,2,22,"1/4"" CARBIDE ENDMILL"
A11683,410,1,97,17/32 .531 CARBIDE DRILL
A11689,410,1,1,PROBE
A11689,410,2,17,"3.0"" FACEMILL"
A11689,410,3,15,"1.25"" TURBO MILL"
A11689,410,4,22,"1/4"" CARBIDE END MILL"
A11689,410,5,19,45 DEGREE CHAMFER TOOL C.C. .4700
A11689,410,6,17,"3.0"" FACEMILL"
A11689,410,7,15,"1.25"" TURBO MILL"
A11689,410,8,19,45 DEGREE CHAMFER TOOL C.C..4700
